date_only,product_category,quantity,unit_price,discount_applied,product_rating,product_stock,is_holiday,is_weekend,month,day_of_week,total_returned_items
2020-01-01,Clothing,1437,485.1001403508772,0.25371929824561407,2.9859649122807017,47.56140350877193,0.49122807017543857,0.5368421052631579,1,2,1373
2020-01-01,Electronics,1396,486.9087543252595,0.24159169550173007,2.9100346020761245,49.68512110726643,0.47750865051903113,0.49480968858131485,1,2,1312
2020-01-01,Furniture,1341,532.9742910447761,0.24858208955223882,3.0003731343283584,50.026119402985074,0.5746268656716418,0.48880597014925375,1,2,1156
2020-01-01,Groceries,1375,511.510447761194,0.253134328358209,2.926865671641791,51.90298507462686,0.5,0.47388059701492535,1,2,1162
2020-01-01,Toys,1382,510.8195035460993,0.2621276595744681,3.0436170212765954,49.0,0.5212765957446809,0.475177304964539,1,2,1312
2020-01-02,Clothing,1463,510.6138869257951,0.23851590106007067,2.887279151943463,50.590106007067135,0.4840989399293286,0.5335689045936396,1,3,1248
2020-01-02,Electronics,1502,499.4424652777777,0.2525694444444444,3.058333333333333,48.572916666666664,0.4930555555555556,0.4965277777777778,1,3,1285
2020-01-02,Furniture,1425,509.1189962825279,0.25929368029739774,2.9546468401486985,49.30855018587361,0.516728624535316,0.48698884758364314,1,3,1189
2020-01-02,Groceries,1317,469.99886524822693,0.23847517730496454,2.867375886524823,48.730496453900706,0.5212765957446809,0.46808510638297873,1,3,1275
2020-01-02,Toys,1331,509.27041198501877,0.2439325842696629,2.966666666666667,47.79775280898876,0.4868913857677903,0.4681647940074906,1,3,1194
2020-01-03,Clothing,1375,486.3215985130111,0.26037174721189593,2.970260223048327,49.97769516728624,0.5427509293680297,0.4758364312267658,1,4,1288
2020-01-03,Electronics,1330,501.5435689045936,0.2434982332155477,2.963604240282686,48.42402826855124,0.5477031802120141,0.49823321554770317,1,4,1203
2020-01-03,Furniture,1143,496.5679090909091,0.24745454545454545,3.0513636363636363,46.97727272727273,0.4772727272727273,0.55,1,4,1027
2020-01-03,Groceries,1385,491.7615925925926,0.2437037037037037,3.044074074074074,49.75925925925926,0.5296296296296297,0.5111111111111111,1,4,1184
2020-01-03,Toys,1342,495.8840784313726,0.2374901960784314,2.9188235294117644,49.6,0.43137254901960786,0.5176470588235295,1,4,1111
2020-01-04,Clothing,1460,508.5298251748252,0.24986013986013983,2.8797202797202797,48.57342657342657,0.479020979020979,0.4755244755244755,1,5,1372
2020-01-04,Electronics,1470,478.78879310344826,0.24986206896551721,3.026206896551724,50.855172413793106,0.4689655172413793,0.4793103448275862,1,5,1201
2020-01-04,Furniture,1288,478.96007518796995,0.25936090225563907,3.0093984962406015,52.55263157894737,0.5225563909774437,0.5225563909774437,1,5,1162
2020-01-04,Groceries,1367,540.1531851851852,0.2242222222222222,2.9011111111111108,50.05555555555556,0.48518518518518516,0.48518518518518516,1,5,1173
2020-01-04,Toys,1251,506.81032388663965,0.2586234817813765,2.997165991902834,48.83805668016194,0.5060728744939271,0.5222672064777328,1,5,1079
2020-01-05,Clothing,1304,476.0009594095941,0.25664206642066417,3.025830258302583,51.50922509225092,0.4870848708487085,0.47601476014760147,1,6,1228
